Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Biopharmaceuticals,Amgen,USA,https://www.amgen.com,"24,000+","$26B+",1980,Large Enterprise,"Biotechnology, Inflammation, Oncology, Nephrology",Verified
Biopharmaceuticals,Gilead Sciences,USA,https://www.gilead.com,"14,000+","$27B+",1987,Large Enterprise,"Antiviral, HIV, HCV, Oncology, Cell Therapy",Verified
Biopharmaceuticals,Biogen,USA,https://www.biogen.com,"9,000+","$10B+",1978,Large Enterprise,"Neuroscience, MS, SMA, Alzheimer's",Verified
Biopharmaceuticals,Regeneron Pharmaceuticals,USA,https://www.regeneron.com,"11,000+","$12B+",1988,Large Enterprise,"Monoclonal Antibodies, Ophthalmology, Immunology",Verified
Biopharmaceuticals,Vertex Pharmaceuticals,USA,https://www.vrtx.com,"5,000+","$9B+",1989,Large Enterprise,"Cystic Fibrosis, Precision Medicines",Verified
Biopharmaceuticals,CSL Limited,Australia,https://www.csl.com,"27,000+","$13B+",1916,Large Enterprise,"Plasma Therapies, Vaccines, Biotherapeutics",Verified
Biopharmaceuticals,Moderna,USA,https://www.modernatx.com,"3,900+","$18B+",2010,Large Enterprise,"mRNA Technology, Vaccines, Therapeutics",Verified
Biopharmaceuticals,Novo Nordisk,Denmark,https://www.novonordisk.com,"55,000+","$25B+",1923,Large Enterprise,"Diabetes Care, GLP-1, Obesity",Verified
Biopharmaceuticals,Alexion Pharmaceuticals,USA,https://alexion.com,"4,500+","$6B+",1992,Large Enterprise,"Rare Diseases, Complement Inhibition",Verified
Biopharmaceuticals,Genmab,Denmark,https://www.genmab.com,"5,000+","$2B+",1999,Large Enterprise,"Antibody Therapeutics, Oncology",Verified
Biopharmaceuticals,Seagen,USA,https://www.seagen.com,"3,000+","$2B+",1998,Large Enterprise,"Antibody-Drug Conjugates, Oncology",Verified
Biopharmaceuticals,Sage Therapeutics,USA,https://www.sagerx.com,"500+","$100M+",2010,Medium Enterprise,"Neuroscience, Psychiatry",Verified
Biopharmaceuticals,Argenx,Netherlands,https://www.argenx.com,"1,000+","$400M+",2008,Medium Enterprise,"Autoimmune Diseases, FcRN Inhibitors",Verified
Biopharmaceuticals,Horizon Therapeutics,Ireland,https://www.horizontherapeutics.com,"1,200+","$3B+",2008,Medium Enterprise,"Rare Diseases, Autoimmune, Inflammatory",Verified
Biopharmaceuticals,UCB,Belgium,https://www.ucb.com,"7,600+","$6B+",1928,Large Enterprise,"Neurology, Immunology",Verified
Biopharmaceuticals,Incyte,USA,https://www.incyte.com,"2,000+","$3B+",1991,Large Enterprise,"Oncology, Inflammation, Autoimmunity",Verified
Biopharmaceuticals,Biomarin Pharmaceutical,USA,https://www.biomarin.com,"3,000+","$2B+",1997,Large Enterprise,"Rare Genetic Diseases, Enzyme Replacement",Verified
Biopharmaceuticals,Sarepta Therapeutics,USA,https://www.sarepta.com,"1,500+","$1B+",1980,Large Enterprise,"Rare Diseases, Neuromuscular, DMD",Verified
Biopharmaceuticals,Ionis Pharmaceuticals,USA,https://www.ionispharma.com,"500+","$800M+",1989,Medium Enterprise,"Antisense Technology, Neurology, Cardiology",Verified
Biopharmaceuticals,Alnylam Pharmaceuticals,USA,https://www.alnylam.com,"1,800+","$900M+",2002,Large Enterprise,"RNAi Therapeutics, Genetic Medicines",Verified
Generic Drugs,Teva Pharmaceutical,Israel,https://www.tevapharm.com,"37,000+","$16B+",1901,Large Enterprise,"Generic Medicines, Specialty Pharma",Verified
Generic Drugs,Mylan (Viatris),USA,https://www.viatris.com,"35,000+","$12B+",1961,Large Enterprise,"Generics, Biosimilars, OTC",Verified
Generic Drugs,Sandoz (Novartis),Switzerland,https://www.sandoz.com,"22,000+","$10B+",1886,Large Enterprise,"Generics, Biosimilars, Antibiotics",Verified
Generic Drugs,Sun Pharmaceutical,India,https://www.sunpharma.com,"37,000+","$5B+",1983,Large Enterprise,"Generics, Specialty, API",Verified
Generic Drugs,Dr. Reddy's Laboratories,India,https://www.drreddys.com,"23,000+","$3B+",1984,Large Enterprise,"Generics, Active Pharmaceuticals",Verified
Generic Drugs,Cipla,India,https://www.cipla.com,"26,000+","$2.5B+",1935,Large Enterprise,"Generics, Respiratory, ARV",Verified
Generic Drugs,Lupin Limited,India,https://www.lupin.com,"16,000+","$2B+",1968,Large Enterprise,"Generics, API, Respiratory",Verified
Generic Drugs,Hikma Pharmaceuticals,UK,https://www.hikma.com,"8,500+","$2.5B+",1978,Large Enterprise,"Generics, Injectables, Branded",Verified
