Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Airlines,Delta Air Lines,USA,https://www.delta.com,"100,000+","$58B+",1925,Conglomerate,"Full-Service, Global, SkyTeam",Verified
Airlines,American Airlines,USA,https://www.aa.com,"130,000+","$53B+",1926,Conglomerate,"Full-Service, Global, Oneworld",Verified
Airlines,United Airlines,USA,https://www.united.com,"100,000+","$57B+",1926,Conglomerate,"Full-Service, Global, Star Alliance",Verified
Airlines,Lufthansa Group,Germany,https://www.lufthansagroup.com,"109,000+","$40B+",1926,Conglomerate,"Full-Service, European Hub, Star Alliance",Verified
Airlines,Air France-KLM,France,https://www.airfranceklm.com,"84,000+","$32B+",2004,Conglomerate,"Full-Service, European Hub, SkyTeam",Verified
Airlines,International Airlines Group (IAG),UK,https://www.iairgroup.com,"65,000+","$30B+",2011,Conglomerate,"Full-Service, European Hub, Oneworld",Verified
Airlines,Emirates,UAE,https://www.emirates.com,"112,000+","$33B+",1985,Conglomerate,"Full-Service, Long-Haul, Middle East Hub",Verified
Airlines,Qatar Airways,Qatar,https://www.qatarairways.com,"45,000+","$21B+",1993,Conglomerate,"Full-Service, Long-Haul, Oneworld",Verified
Airlines,Singapore Airlines,Singapore,https://www.singaporeair.com,"12,400+","$16B+",1972,Conglomerate,"Full-Service, Premium, Star Alliance",Verified
Airlines,ANA (All Nippon Airways),Japan,https://www.ana.co.jp,"43,000+","$15B+",1952,Conglomerate,"Full-Service, Japan Hub, Star Alliance",Verified
Airlines,Japan Airlines (JAL),Japan,https://www.jal.co.jp,"35,000+","$12B+",1951,Conglomerate,"Full-Service, Japan Hub, Oneworld",Verified
Airlines,Turkish Airlines,Turkey,https://www.turkishairlines.com,"40,000+","$20B+",1933,Conglomerate,"Full-Service, Global Network, Star Alliance",Verified
Airlines,Southwest Airlines,USA,https://www.southwest.com,"74,000+","$26B+",1967,Large Enterprise,"Low-Cost, Point-to-Point, US Domestic",Verified
Airlines,Qantas Airways,Australia,https://www.qantas.com,"24,000+","$15B+",1920,Conglomerate,"Full-Service, Australia Hub, Oneworld",Verified
Airlines,Air China,China,https://www.airchina.com,"90,000+","$20B+",1988,Conglomerate,"Full-Service, China Flag Carrier, Star Alliance",Verified
Airlines,Air Canada,Canada,https://www.aircanada.com,"40,000+","$20B+",1937,Conglomerate,"Full-Service, Canada Hub, Star Alliance",Verified
Airlines,Virgin Atlantic,UK,https://www.virginatlantic.com,"9,000+","$4B+",1984,Medium Enterprise,"Full-Service, Long-Haul",Verified
Airlines,Etihad Airways,UAE,https://www.etihad.com,"22,000+","$5B+",2003,Large Enterprise,"Full-Service, Long-Haul, Abu Dhabi Hub",Verified
Airlines,Cathay Pacific,Hong Kong,https://www.cathaypacific.com,"23,000+","$9B+",1946,Large Enterprise,"Full-Service, Asia Hub, Oneworld",Verified
Airlines,LATAM Airlines Group,Chile,https://www.latam.com,"40,000+","$9B+",2012,Large Enterprise,"Full-Service, Latin America Leader",Verified
Hotels & Resorts,Marriott International,USA,https://www.marriott.com,"200,000+","$24B+",1927,Conglomerate,"Luxury, Premium, Select-Service, Timeshare",Verified
Hotels & Resorts,Hilton Worldwide,USA,https://www.hilton.com,"173,000+","$10B+",1919,Conglomerate,"Luxury, Full-Service, Focused-Service",Verified
Hotels & Resorts,InterContinental Hotels Group (IHG),UK,https://www.ihg.com,"12,000+","$4B+",1777,Large Enterprise,"Luxury, Premium, Essentials",Verified
Hotels & Resorts,Accor,France,https://all.accor.com,"281,000+","$5B+",1967,Conglomerate,"Luxury, Premium, Economy, Lifestyle",Verified
Hotels & Resorts,Hyatt Hotels Corporation,USA,https://www.hyatt.com,"50,000+","$6B+",1957,Large Enterprise,"Luxury, Lifestyle, Resorts",Verified
Hotels & Resorts,Choice Hotels International,USA,https://www.choicehotels.com,"2,000+","$1.5B+",1939,Large Enterprise,"Franchise, Mid-scale, Economy, Extended Stay",Verified
Hotels & Resorts,Shangri-La Hotels and Resorts,Hong Kong,https://www.shangri-la.com,"40,000+","$2B+",1971,Large Enterprise,"Luxury, Asia-Pacific, Resorts",Verified
Hotels & Resorts,Four Seasons Hotels and Resorts,Canada,https://www.fourseasons.com,"45,000+","$5B+",1960,Large Enterprise,"Ultra-Luxury, Residential, Service",Verified
Hotels & Resorts,Mandarin Oriental Hotel Group,Hong Kong,https://www.mandarinoriental.com,"12,000+","$500M+",1963,Large Enterprise,"Ultra-Luxury, Iconic Hotels",Verified
Hotels & Resorts,Radisson Hotel Group,USA,https://www.radissonhotels.com,"95,000+","$6B+",1960,Large Enterprise,"Upscale, Midscale, Global",Verified
Hotels & Resorts,The Indian Hotels Company (Taj),India,https://www.tajhotels.com,"13,000+","$500M+",1903,Large Enterprise,"Luxury, Palaces, India",Verified
Hotels & Resorts,Jumeirah Group,UAE,https://www.jumeirah.com,"14,000+","$1B+",1997,Large Enterprise,"Luxury, Dubai, Iconic Properties",Verified
Hotels & Resorts,NH Hotel Group,Spain,https://www.nh-hotels.com,"16,000+","$1B+",1978,Large Enterprise,"Upscale, Urban, Europe",Verified
Hotels & Resorts,Melco Resorts & Entertainment,China,https://www.melco-resorts.com,"24,000+","$3B+",2004,Large Enterprise,"Integrated Resorts, Casinos, Macau",Verified
Hotels & Resorts,MGM Resorts International,USA,https://www.mgmresorts.com,"75,000+","$16B+",1986,Conglomerate,"Integrated Resorts, Casinos, Las Vegas",Verified
Hotels & Resorts,Wyndham Hotels & Resorts,USA,https://www.wyndhamhotels.com,"9,000+","$1.5B+",1981,Large Enterprise,"Largest Franchisor, Economy, Midscale",Verified
Hotels & Resorts,Banyan Tree Holdings,Singapore,https://www.banyantree.com,"7,000+","$200M+",1994,Medium Enterprise,"Luxury Resorts, Spas, Sanctuaries",Verified
Hotels & Resorts,Soneva Resorts,Thailand,https://soneva.com,"1,000+","$100M+",1995,Medium Enterprise,"Ultra-Luxury, Eco-Conscious, Barefoot",Verified
Hotels & Resorts,Oberoi Hotels & Resorts,India,https://www.oberoihotels.com,"12,000+","$300M+",1934,Large Enterprise,"Ultra-Luxury, Service, India",Verified
Online Travel Agencies,Booking Holdings,USA,https://www.bookingholdings.com,"24,000+","$21B+",1997,Conglomerate,"Booking.com, Priceline, Agoda, Kayak",Verified
Online Travel Agencies,Expedia Group,USA,https://www.expediagroup.com,"16,500+","$12B+",1996,Conglomerate,"Expedia, Vrbo, Hotels.com, Travelocity",Verified
Online Travel Agencies,Trip.com Group,China,https://www.trip.com,"45,000+","$5B+",1999,Conglomerate,"Ctrip, Skyscanner, Trip.com",Verified
Online Travel Agencies,MakeMyTrip,India,https://www.makemytrip.com,"4,000+","$500M+",2000,Medium Enterprise,"Flights, Hotels, Packages, India",Verified
Online Travel Agencies,eDreams ODIGEO,Spain,https://www.edreamsodigeo.com,"1,500+","$600M+",2011,Medium Enterprise,"eDreams, Opodo, Go Voyages, Travellink",Verified
Online Travel Agencies,Despegar.com,Argentina,https://www.despegar.com,"2,500+","$400M+",1999,Medium Enterprise,"Flights, Hotels, Latin America",Verified
Online Travel Agencies,Trivago,Germany,https://www.trivago.com,"1,000+","$500M+",2005,Medium Enterprise,"Hotel Meta-Search, Price Comparison",Verified
Online Travel Agencies,Agoda,Singapore,https://www.agoda.com,"4,000+","N/A (Booking)",2005,Large Enterprise,"Hotel Booking, Asia Focus",Verified
Online Travel Agencies,Skyscanner,UK,https://www.skyscanner.net,"1,000+","N/A (Trip.com)",2003,Medium Enterprise,"Flight Meta-Search, Inspiration",Verified
Online Travel Agencies,Kayak (Booking Holdings),USA,https://www.kayak.com,"1,500+","N/A (Booking)",2004,Medium Enterprise,"Travel Meta-Search, Price Comparison",Verified
Online Travel Agencies,Lastminute.com Group,Switzerland,https://www.lastminute.com,"1,500+","$400M+",1998,Medium Enterprise,"Last-Minute Travel, Packages",Verified
Online Travel Agencies,Ctrip (Trip.com Group),China,https://www.ctrip.com,"45,000+ (Group)","$5B+ (Group)",1999,Conglomerate,"Hotel, Flight, Package Booking, China",Verified
Online Travel Agencies,Traveloka,Indonesia,https://www.traveloka.com,"2,500+","$2B+",2012,Medium Enterprise,"Flights, Hotels, Lifestyle, SE Asia",Verified
Online Travel Agencies,Tiket.com,Indonesia,https://www.tiket.com,"1,000+","$100M+",2011,Medium Enterprise,"Flights, Hotels, Events, Indonesia",Verified
Online Travel Agencies,Wego,UAE,https://www.wego.com,"500+","$50M+",2005,Medium Enterprise,"Meta-Search, Middle East & Asia",Verified
Online Travel Agencies,Yatra Online,India,https://www.yatra.com,"3,000+","$100M+",2006,Medium Enterprise,"Flights, Hotels, Corporate, India",Verified
Online Travel Agencies,GetYourGuide,Germany,https://www.getyourguide.com,"1,000+","$200M+",2009,Medium Enterprise,"Tours, Activities, Attractions",Verified
Online Travel Agencies,Klook,Hong Kong,https://www.klook.com,"2,000+","$300M+",2014,Medium Enterprise,"Tours, Activities, Attractions, Asia",Verified
