Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Wireless Carriers,Verizon Communications,USA,https://www.verizon.com,"117,100+","$137B+",1983,Conglomerate,"5G, Fios, Wireless, Enterprise",Verified
Wireless Carriers,AT&T,USA,https://www.att.com,"160,700+","$122B+",1885,Conglomerate,"Wireless, Fiber, HBO Max, DirecTV",Verified
Wireless Carriers,China Mobile,China,https://www.chinamobileltd.com,"450,000+","$110B+",1997,Conglomerate,"Mobile, Broadband, Digital Services",Verified
Wireless Carriers,Vodafone Group,UK,https://www.vodafone.com,"104,000+","$50B+",1991,Conglomerate,"Mobile, IoT, M-Pesa, Enterprise",Verified
Wireless Carriers,Deutsche Telekom,Germany,https://www.telekom.com,"216,000+","$121B+",1995,Conglomerate,"Mobile, MagentaTV, T-Mobile US, Fiber",Verified
Wireless Carriers,NTT Docomo,Japan,https://www.nttdocomo.co.jp,"20,000+","$45B+",1991,Large Enterprise,"Mobile, Payment, Digital Services",Verified
Wireless Carriers,Orange S.A.,France,https://www.orange.com,"136,000+","$47B+",1994,Conglomerate,"Mobile, Fixed, Banking, IT Services",Verified
Wireless Carriers,Telefónica,Spain,https://www.telefonica.com,"102,000+","$43B+",1924,Conglomerate,"Mobile, Fiber, Movistar+, Hispam",Verified
Wireless Carriers,SoftBank Corp.,Japan,https://www.softbank.jp,"20,000+","$40B+",1981,Large Enterprise,"Mobile, Yahoo Japan, PayPay",Verified
Wireless Carriers,T-Mobile US,USA,https://www.t-mobile.com,"76,000+","$80B+",1994,Large Enterprise,"5G, Un-carrier, Magenta",Verified
Wireless Carriers,America Movil,Mexico,https://www.americamovil.com,"190,000+","$53B+",2000,Conglomerate,"Wireless, Fixed, Claro, Telmex",Verified
Wireless Carriers,Bharti Airtel,India,https://www.airtel.com,"18,000+","$14B+",1995,Large Enterprise,"Mobile, Airtel Xstream, Payments",Verified
Wireless Carriers,SK Telecom,South Korea,https://www.sktelecom.com,"4,800+","$13B+",1984,Large Enterprise,"5G, AI, Media, Security",Verified
Wireless Carriers,Telstra,Australia,https://www.telstra.com,"29,000+","$18B+",1975,Large Enterprise,"Mobile, Fixed, Network APIs, Telstra Purple",Verified
Wireless Carriers,Rogers Communications,Canada,https://www.rogers.com,"24,000+","$12B+",1960,Large Enterprise,"Wireless, Cable, Media, Sports",Verified
Wireless Carriers,MTN Group,South Africa,https://www.mtn.com,"17,000+","$11B+",1994,Large Enterprise,"Pan-Africa Mobile, Mobile Money",Verified
Wireless Carriers,Saudi Telecom Company,Saudi Arabia,https://www.stc.com.sa,"20,000+","$15B+",1998,Large Enterprise,"Mobile, stc pay, Enterprise, Fiber",Verified
Wireless Carriers,Singtel,Singapore,https://www.singtel.com,"22,000+","$11B+",1992,Large Enterprise,"Mobile, NCS, Optus, Digital",Verified
Wireless Carriers,Swisscom,Switzerland,https://www.swisscom.ch,"19,000+","$12B+",1998,Large Enterprise,"Mobile, Fixed, TV, IT Services",Verified
Wireless Carriers,Turkcell,Turkey,https://www.turkcell.com.tr,"13,000+","$3B+",1994,Large Enterprise,"Mobile, BiP, Paycell, Digital Services",Verified
Fiber Optics,Corning Inc.,USA,https://www.corning.com,"61,000+","$14B+",1851,Large Enterprise,"Optical Fiber, Cable, Gorilla Glass",Verified
Fiber Optics,Prysmian Group,Italy,https://www.prysmiangroup.com,"30,000+","$16B+",2005,Large Enterprise,"Optical Cables, Submarine, Energy",Verified
