Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Automotive Manufacturing,Toyota Motor Corporation,Japan,https://global.toyota,"375,000+","$300B+",1937,Conglomerate,"Automobiles, EVs, Hybrids, Robotics",Verified
Automotive Manufacturing,Volkswagen Group,Germany,https://www.volkswagenag.com,"676,000+","$300B+",1937,Conglomerate,"Passenger Cars, Commercial Vehicles, EVs",Verified
Automotive Manufacturing,Stellantis,Netherlands,https://www.stellantis.com,"272,000+","$200B+",2021,Conglomerate,"Multi-Brand Auto Portfolio, EVs",Verified
Automotive Manufacturing,General Motors,USA,https://www.gm.com,"167,000+","$170B+",1908,Large Enterprise,"Trucks, EVs, Autonomous Vehicles",Verified
Automotive Manufacturing,Ford Motor Company,USA,https://www.ford.com,"177,000+","$170B+",1903,Large Enterprise,"Trucks, SUVs, EVs, Commercial Vehicles",Verified
Automotive Manufacturing,Honda Motor Co.,Japan,https://global.honda,"211,000+","$130B+",1948,Conglomerate,"Automobiles, Motorcycles, Power Equipment",Verified
Automotive Manufacturing,BMW Group,Germany,https://www.bmwgroup.com,"149,000+","$150B+",1916,Large Enterprise,"Luxury Vehicles, Motorcycles, EVs",Verified
Automotive Manufacturing,Hyundai Motor Group,South Korea,https://www.hyundaimotorgroup.com,"249,000+","$120B+",1967,Conglomerate,"Automobiles, EVs, Steel, Construction",Verified
Automotive Manufacturing,SAIC Motor,China,https://www.saicmotor.com,"145,000+","$110B+",1955,Large Enterprise,"Joint Ventures, Passenger & Commercial Vehicles",Verified
Automotive Manufacturing,Nissan Motor Co.,Japan,https://www.nissan-global.com,"136,000+","$80B+",1933,Large Enterprise,"Automobiles, EVs, Crossovers",Verified
Automotive Manufacturing,Tesla,USA,https://www.tesla.com,"127,000+","$95B+",2003,Large Enterprise,"Electric Vehicles, Energy Storage, Solar",Verified
Automotive Manufacturing,Mercedes-Benz Group,Germany,https://group.mercedes-benz.com,"172,000+","$160B+",1926,Large Enterprise,"Luxury Vehicles, Vans, EVs",Verified
Automotive Manufacturing,Kia Corporation,South Korea,https://www.kia.com,"48,000+","$70B+",1944,Large Enterprise,"Passenger Cars, SUVs, EVs",Verified
Automotive Manufacturing,Renault Group,France,https://www.renaultgroup.com,"170,000+","$50B+",1899,Large Enterprise,"Automobiles, EVs, Alliance Partnerships",Verified
Automotive Manufacturing,Geely Auto Group,China,https://www.geely.com,"43,000+","$20B+",1986,Large Enterprise,"Passenger Vehicles, EVs, Volvo Ownership",Verified
Automotive Manufacturing,Tata Motors,India,https://www.tatamotors.com,"78,000+","$40B+",1945,Large Enterprise,"Passenger Cars, Commercial Vehicles, Jaguar Land Rover",Verified
Automotive Manufacturing,Mazda Motor Corporation,Japan,https://www.mazda.com,"50,000+","$30B+",1920,Large Enterprise,"Passenger Cars, SKYACTIV Technology",Verified
Automotive Manufacturing,Subaru Corporation,Japan,https://www.subaru.co.jp,"35,000+","$30B+",1953,Large Enterprise,"All-Wheel Drive Vehicles, Crossovers",Verified
Automotive Manufacturing,BAIC Group,China,https://www.baicgroup.com.cn,"130,000+","$70B+",1958,Large Enterprise,"Joint Ventures, Own Brand Vehicles, EVs",Verified
Automotive Manufacturing,BYD Auto,China,https://www.byd.com,"570,000+","$85B+",1995,Large Enterprise,"Electric Vehicles, Batteries, Monorail",Verified
Aerospace & Defense Manufacturing,Boeing,USA,https://www.boeing.com,"156,000+","$75B+",1916,Conglomerate,"Commercial Airplanes, Defense, Space",Verified
Aerospace & Defense Manufacturing,Lockheed Martin,USA,https://www.lockheedmartin.com,"116,000+","$65B+",1995,Conglomerate,"Defense, Aeronautics, Missiles, Space",Verified
Aerospace & Defense Manufacturing,Airbus,Netherlands,https://www.airbus.com,"134,000+","$70B+",1970,Conglomerate,"Commercial Aircraft, Helicopters, Defense",Verified
Aerospace & Defense Manufacturing,Northrop Grumman,USA,https://www.northropgrumman.com,"97,000+","$40B+",1939,Conglomerate,"Defense Systems, Aerospace, Mission Systems",Verified
Aerospace & Defense Manufacturing,General Dynamics,USA,https://www.gd.com,"106,000+","$40B+",1899,Conglomerate,"Aerospace, Combat Vehicles, Marine Systems",Verified
Aerospace & Defense Manufacturing,Raytheon Technologies,USA,https://www.rtx.com,"182,000+","$70B+",2020,Conglomerate,"Aerospace, Defense, Cybersecurity",Verified
Aerospace & Defense Manufacturing,Bombardier,Canada,https://www.bombardier.com,"66,000+","$7B+",1942,Large Enterprise,"Business Aircraft, Regional Jets",Verified
Aerospace & Defense Manufacturing,BAE Systems,UK,https://www.baesystems.com,"93,000+","$25B+",1999,Large Enterprise,"Defense, Aerospace, Security",Verified
Aerospace & Defense Manufacturing,Safran,France,https://www.safran-group.com,"83,000+","$20B+",2005,Large Enterprise,"Aerospace Propulsion, Aircraft Equipment, Defense",Verified
