Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Oil Exploration,Saudi Aramco,Saudi Arabia,https://www.aramco.com,"70,000+","$600B+",1933,Conglomerate,"Integrated Oil & Gas, Petrochemicals",Verified
Oil Exploration,ExxonMobil,USA,https://www.exxonmobil.com,"62,000+","$413B+",1870,Conglomerate,"Upstream, Downstream, Chemicals",Verified
Oil Exploration,Chevron,USA,https://www.chevron.com,"43,000+","$246B+",1879,Conglomerate,"Integrated Energy, LNG",Verified
Oil Exploration,Shell,UK,https://www.shell.com,"82,000+","$386B+",1907,Conglomerate,"Integrated Energy, Renewables, Trading",Verified
Oil Exploration,BP,UK,https://www.bp.com,"67,000+","$164B+",1909,Large Enterprise,"Oil & Gas, Low Carbon Energy",Verified
Oil Exploration,TotalEnergies,France,https://www.totalenergies.com,"105,000+","$263B+",1924,Conglomerate,"Integrated Energy, Solar, LNG",Verified
Oil Exploration,ConocoPhillips,USA,https://www.conocophillips.com,"9,500+","$82B+",1917,Large Enterprise,"Exploration & Production (E&P)",Verified
Oil Exploration,Petrobras,Brazil,https://petrobras.com.br,"45,000+","$124B+",1953,Large Enterprise,"Deepwater Exploration, Pre-Salt",Verified
Oil Exploration,Rosneft,Russia,https://www.rosneft.com,"335,000+","$120B+",1993,Large Enterprise,"Integrated Oil & Gas, Refining",Verified
Oil Exploration,PetroChina,China,https://www.petrochina.com.cn,"402,000+","$483B+",1999,Large Enterprise,"Integrated Oil & Gas, Pipelines",Verified
Oil Exploration,Equinor,Norway,https://www.equinor.com,"21,000+","$137B+",1972,Large Enterprise,"Offshore E&P, Wind, Carbon Capture",Verified
Oil Exploration,ADNOC,UAE,https://www.adnoc.ae,"50,000+","$100B+",1971,Large Enterprise,"Integrated Oil & Gas, Petrochemicals",Verified
Oil Exploration,Eni,Italy,https://www.eni.com,"32,000+","$147B+",1953,Large Enterprise,"Oil & Gas, Plenitude Renewables",Verified
Oil Exploration,Lukoil,Russia,https://www.lukoil.com,"101,000+","$144B+",1991,Large Enterprise,"Integrated Oil & Gas, Refining",Verified
Oil Exploration,Hess Corporation,USA,https://www.hess.com,"1,600+","$11B+",1919,Medium Enterprise,"E&P, Guyana Offshore",Verified
Oil Exploration,Occidental Petroleum,USA,https://www.oxy.com,"11,800+","$35B+",1920,Large Enterprise,"E&P, Carbon Management",Verified
Oil Exploration,Woodside Energy,Australia,https://www.woodside.com,"4,700+","$17B+",1954,Large Enterprise,"LNG, Offshore E&P",Verified
Oil Exploration,CNOOC,China,https://www.cnooc.com.cn,"20,000+","$60B+",1999,Large Enterprise,"Offshore E&P, LNG",Verified
Oil Exploration,Sinopec,China,https://www.sinopec.com,"553,000+","$471B+",2000,Large Enterprise,"Integrated Oil & Gas, Refining",Verified
Oil Exploration,Pemex,Mexico,https://www.pemex.com,"124,000+","$96B+",1938,Large Enterprise,"State-Owned Oil & Gas",Verified
