Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Operating Systems,Microsoft (Windows),USA,https://www.microsoft.com,"221,000+","$211B+",1975,Conglomerate,"Windows OS, Azure, Office Suite",Verified
Operating Systems,Apple (macOS/iOS),USA,https://www.apple.com,"164,000+","$383B+",1976,Conglomerate,"macOS, iOS, iPadOS, Consumer Electronics",Verified
Operating Systems,Google (Android/ChromeOS),USA,https://www.google.com,"190,234+","$307B+",1998,Conglomerate,"Android, ChromeOS, Search, Advertising",Verified
Operating Systems,Canonical (Ubuntu),UK,https://ubuntu.com,"500-1,000","$100M+",2004,Medium Enterprise,"Ubuntu Linux, Open-Source Support",Verified
Operating Systems,Red Hat (RHEL),USA,https://www.redhat.com,"19,000+","$5B+",1993,Large Enterprise,"Red Hat Enterprise Linux, OpenShift",Verified
Operating Systems,SUSE (openSUSE),Germany,https://www.suse.com,"2,000+","$600M+",1992,Large Enterprise,"SUSE Linux Enterprise, Rancher",Verified
Operating Systems,Oracle (Solaris),USA,https://www.oracle.com,"164,000+","$53B+",1977,Conglomerate,"Solaris, Database, Enterprise Cloud",Verified
Operating Systems,IBM (z/OS),USA,https://www.ibm.com,"288,000+","$61B+",1911,Conglomerate,"z/OS, AI, Hybrid Cloud",Verified
Operating Systems,Amazon (Amazon Linux),USA,https://aws.amazon.com,"1,608,000+","$574B+",1994,Conglomerate,"Amazon Linux, AWS Cloud Services",Verified
Operating Systems,FreeBSD Foundation,USA,https://www.freebsdfoundation.org,"<50","N/A (Non-Profit)",2000,Small Enterprise,"FreeBSD OS Development & Advocacy",Verified
Operating Systems,Elementary OS,USA,https://elementary.io,"<50","N/A (Donation)",2011,Small Enterprise,"Elementary OS, User-Focused Linux Distro",Verified
Operating Systems,Linux Mint,UK,https://linuxmint.com,"<10","N/A (Donation)",2006,Small Enterprise,"Linux Mint Distribution",Verified
Operating Systems,Fedora Project,USA,https://getfedora.org,"N/A (Community)","N/A (Sponsor)",2003,Small Enterprise,"Fedora Linux, Community-Driven Distro",Verified
Operating Systems,Debian Project,Global,https://www.debian.org,"N/A (Volunteer)","N/A (Donation)",1993,Small Enterprise,"Debian Linux, Universal Operating System",Verified
Operating Systems,Arch Linux,Global,https://archlinux.org,"N/A (Volunteer)","N/A (Donation)",2002,Small Enterprise,"Arch Linux, KISS Principle Distro",Verified
Operating Systems,Gentoo Foundation,USA,https://www.gentoo.org,"N/A (Volunteer)","N/A (Non-Profit)",2004,Small Enterprise,"Gentoo Linux, Metadistribution",Verified
Operating Systems,Tizen (Linux Foundation),USA,https://www.tizen.org,"N/A (Project)","N/A",2012,Small Enterprise,"Tizen OS for Smartphones, TVs, Wearables",Verified
Operating Systems,ReactOS Foundation,Germany,https://reactos.org,"N/A (Volunteer)","N/A (Donation)",1996,Small Enterprise,"ReactOS, Windows-compatible OS",Verified
Operating Systems,Haiku Project,Global,https://www.haiku-os.org,"N/A (Volunteer)","N/A (Donation)",2001,Small Enterprise,"Haiku OS, Open-Source BeOS Reimplementation",Verified
