Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Residential Development,Lennar Corporation,USA,https://www.lennar.com,"13,265+","$35B+",1954,Large Enterprise,"Single-Family Homes, Master-Planned Communities",Verified
Residential Development,D.R. Horton,USA,https://www.drhorton.com,"14,766+","$37B+",1978,Large Enterprise,"Single-Family Homes, Entry-Level, Move-Up",Verified
Residential Development,PulteGroup,USA,https://www.pultegroup.com,"6,000+","$18B+",1950,Large Enterprise,"First-Time, Move-Up, Active Adult Homes",Verified
Residential Development,NVR Inc.,USA,https://www.nvrinc.com,"6,800+","$10B+",1980,Large Enterprise,"Single-Family Homes, Mortgage Banking",Verified
Residential Development,Taylor Morrison,USA,https://www.taylormorrison.com,"2,500+","$8B+",2007,Large Enterprise,"Single-Family, Luxury Homes",Verified
Residential Development,KB Home,USA,https://www.kbhome.com,"1,600+","$6B+",1957,Large Enterprise,"Build-to-Order Single-Family Homes",Verified
Residential Development,Meritage Homes,USA,https://www.meritagehomes.com,"1,800+","$6B+",1985,Large Enterprise,"Energy-Efficient Single-Family Homes",Verified
Residential Development,Toll Brothers,USA,https://www.tollbrothers.com,"2,500+","$10B+",1967,Large Enterprise,"Lury Homes, Country Clubs, Urban Living",Verified
Residential Development,Century Communities,USA,https://www.centurycommunities.com,"1,200+","$4B+",2002,Large Enterprise,"Single-Family, Attached Homes",Verified
Residential Development,Redrow Homes,UK,https://www.redrow.co.uk,"2,200+","$2B+",1974,Large Enterprise,"Premium Family Housing, UK",Verified
Residential Development,Barratt Developments,UK,https://www.barrattdevelopments.co.uk,"6,500+","$6B+",1958,Large Enterprise,"Residential Development, UK Housebuilding",Verified
Residential Development,Sekisui House,Japan,https://www.sekisuihouse.co.jp,"27,000+","$20B+",1960,Large Enterprise,"Detached Homes, Sustainable Housing",Verified
Residential Development,Mitsui Fudosan Residential,Japan,https://www.mitsuifudosan.co.jp,"20,000+","$15B+",1941,Conglomerate,"Urban Development, Residential, REITs",Verified
Residential Development,Lendlease,Australia,https://www.lendlease.com,"8,000+","$7B+",1958,Large Enterprise,"Urban Regeneration, Sustainable Communities",Verified
Residential Development,Mirvac,Australia,https://www.mirvac.com,"1,500+","$2B+",1972,Large Enterprise,"Residential, Commercial, Funds Management",Verified
Residential Development,CapitaLand Development,Singapore,https://www.capitaland.com,"13,000+","$4B+",2000,Large Enterprise,"Integrated Developments, Townships",Verified
