Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Residential Construction,Lennar Corporation,USA,https://www.lennar.com,"12,000+","$34B+",1954,Large Enterprise,"Homebuilding, Financial Services",Verified
Residential Construction,D.R. Horton,USA,https://www.drhorton.com,"11,000+","$36B+",1978,Large Enterprise,"Single-Family Homes, First-Time Buyers",Verified
Residential Construction,PulteGroup,USA,https://www.pultegroup.com,"6,000+","$16B+",1950,Large Enterprise,"Homebuilding, Mortgage Services",Verified
Residential Construction,Toll Brothers,USA,https://www.tollbrothers.com,"5,500+","$10B+",1967,Large Enterprise,"Luxury Homes, Urban Development",Verified
Residential Construction,Taylor Wimpey,UK,https://www.taylorwimpey.co.uk,"4,500+","$5B+",1880,Large Enterprise,"Residential Development, Land Planning",Verified
Residential Construction,Barratt Developments,UK,https://www.barrattdevelopments.co.uk,"6,500+","$6B+",1958,Large Enterprise,"Housebuilding, Commercial Development",Verified
Residential Construction,Sekisui House,Japan,https://www.sekisuihouse.co.jp,"27,000+","$22B+",1960,Large Enterprise,"Prefabricated Homes, Urban Development",Verified
Residential Construction,Mitsui Fudosan Residential,Japan,https://www.mitsuifudosan.co.jp,"17,000+","$15B+",1941,Large Enterprise,"Real Estate Development, Property Management",Verified
Residential Construction,Mirvac Group,Australia,https://www.mirvac.com,"1,200+","$2B+",1972,Medium Enterprise,"Residential, Commercial, Funds Management",Verified
Residential Construction,Stockland,Australia,https://www.stockland.com.au,"1,500+","$2B+",1952,Medium Enterprise,"Residential Communities, Retail Town Centers",Verified
Residential Construction,Lendlease Residential,Australia,https://www.lendlease.com,"9,000+","$8B+",1958,Large Enterprise,"Urban Regeneration, Apartments",Verified
Residential Construction,Bouygues Immobilier,France,https://www.bouygues-immobilier.com,"5,000+","$6B+",1952,Large Enterprise,"Residential, Commercial, Urban Planning",Verified
Residential Construction,Vinci Construction France,France,https://www.vinci-construction.fr,"115,000+","$53B+",1891,Large Enterprise,"Construction, Concessions, Energy",Verified
Residential Construction,Vonovia SE,Germany,https://www.vonovia.de,"15,000+","$7B+",2001,Large Enterprise,"Residential Property Management, Development",Verified
Residential Construction,China Vanke,China,https://www.vanke.com,"140,000+","$70B+",1984,Large Enterprise,"Property Development, Property Management",Verified
Residential Construction,Country Garden,China,https://www.countrygarden.com.cn,"80,000+","$80B+",1992,Large Enterprise,"Property Development, Construction",Verified
Residential Construction,DLF Limited,India,https://www.dlf.in,"4,000+","$2B+",1946,Medium Enterprise,"Residential, Commercial, SEZs",Verified
Residential Construction,Emaar Properties,UAE,https://www.emaar.com,"5,000+","$7B+",1997,Large Enterprise,"Luxury Real Estate, Malls, Hospitality",Verified
Residential Construction,Sobha Limited,India,https://www.sobha.com,"4,500+","$700M+",1995,Medium Enterprise,"Luxury Residential, Contracting",Verified
Residential Construction,Cadillac Fairview,Canada,https://www.cadillacfairview.com,"2,000+","$2B+",1954,Medium Enterprise,"Commercial Real Estate, Property Management",Verified
Commercial Construction,Skanska AB,Sweden,https://www.skanska.com,"30,000+","$17B+",1887,Large Enterprise,"Commercial Construction, Infrastructure",Verified
Commercial Construction,Bechtel Corporation,USA,https://www.bechtel.com,"55,000+","$17B+",1898,Large Enterprise,"Engineering, Procurement, Construction",Verified
Commercial Construction,Turner Construction,USA,https://www.turnerconstruction.com,"10,000+","$15B+",1902,Large Enterprise,"Commercial Buildings, Green Building",Verified
Commercial Construction,AECOM,USA,https://www.aecom.com,"51,000+","$13B+",1990,Large Enterprise,"Design, Consulting, Construction",Verified
Commercial Construction,Hochtief AG,Germany,https://www.hochtief.com,"55,000+","$28B+",1874,Large Enterprise,"Construction, Development, Concessions",Verified
Commercial Construction,ACS Group,Spain,https://www.grupoacs.com,"150,000+","$40B+",1997,Large Enterprise,"Construction, Industrial Services, Concessions",Verified
Commercial Construction,Balfour Beatty,UK,https://www.balfourbeatty.com,"26,000+","$10B+",1909,Large Enterprise,"Infrastructure, Support Services",Verified
Commercial Construction,Bouygues Construction,France,https://www.bouygues-construction.com,"56,000+","$15B+",1952,Large Enterprise,"Building, Civil Works, Energy",Verified
Commercial Construction,Obayashi Corporation,Japan,https://www.obayashi.co.jp,"16,000+","$15B+",1892,Large Enterprise,"General Contracting, Engineering",Verified
Commercial Construction,Shimizu Corporation,Japan,https://www.shimz.co.jp,"11,000+","$13B+",1804,Large Enterprise,"Construction, Engineering, Design",Verified
Commercial Construction,Lendlease Commercial,Australia,https://www.lendlease.com,"9,000+","$8B+",1958,Large Enterprise,"Commercial Development, PPPs",Verified
Commercial Construction,Multiplex Constructions,Australia,https://www.multiplex.global,"2,500+","$3B+",1962,Medium Enterprise,"Commercial, Residential, Mixed-Use",Verified
Commercial Construction,Clark Construction,USA,https://www.clarkconstruction.com,"4,500+","$5B+",1906,Large Enterprise,"Building, Civil, Green Construction",Verified
Commercial Construction,PCL Construction,Canada,https://www.pcl.com,"4,500+","$8B+",1906,Large Enterprise,"General Contracting, Construction Management",Verified
Commercial Construction,Samsung C&T Corporation,South Korea,https://www.samsungcnt.com,"7,000+","$25B+",1938,Large Enterprise,"Trading & Investment, Construction",Verified
