Industry,Company Name,HQ Country,Website,Employee Count,Revenue Estimate,Founded,Company Size,Specialization Tags,Status
Management Consulting,McKinsey & Company,USA,https://www.mckinsey.com,"38,000+","$15B+",1926,Large Enterprise,"Corporate Strategy, Operations, Organization",Verified
Management Consulting,Boston Consulting Group,USA,https://www.bcg.com,"25,000+","$11.5B+",1963,Large Enterprise,"Growth Strategy, Digital Transformation, Change Management",Verified
Management Consulting,Bain & Company,USA,https://www.bain.com,"15,000+","$5.8B+",1973,Large Enterprise,"Private Equity, Performance Improvement, Customer Strategy",Verified
Management Consulting,Oliver Wyman,USA,https://www.oliverwyman.com,"6,000+","$2.5B+",1984,Large Enterprise,"Financial Services, Risk Management, Strategy",Verified
Management Consulting,Booz Allen Hamilton,USA,https://www.boozallen.com,"33,000+","$10B+",1914,Large Enterprise,"Defense, Government, Technology Consulting",Verified
Management Consulting,Kearney,USA,https://www.kearney.com,"4,500+","$1.6B+",1926,Large Enterprise,"Operations, Strategic Sourcing, Supply Chain",Verified
Management Consulting,Roland Berger,Germany,https://www.rolandberger.com,"3,000+","$1B+",1967,Large Enterprise,"European Corporate Strategy, Restructuring",Verified
Management Consulting,LEK Consulting,UK,https://www.lek.com,"1,800+","$700M+",1983,Large Enterprise,"Life Sciences, M&A, Due Diligence",Verified
Management Consulting,AT Kearney,USA,https://www.kearney.com,"4,500+","$1.6B+",1926,Large Enterprise,"Operations, Strategic Sourcing, Supply Chain",Verified
Management Consulting,Strategy& (PwC),USA,https://www.strategyand.pwc.com,"3,000+","N/A (Parent)",1944,Large Enterprise,"Corporate Strategy, Digital Business Transformation",Verified
Management Consulting,OC&C Strategy Consultants,UK,https://www.occstrategy.com,"600+","$250M+",1987,Mid-Market,"Consumer Goods, Retail, Media, Private Equity",Verified
Management Consulting,ZS Associates,USA,https://www.zs.com,"12,000+","$1.8B+",1983,Large Enterprise,"Sales & Marketing, Pharmaceuticals, AI & Analytics",Verified
Management Consulting,Alvarez & Marsal,USA,https://www.alvarezandmarsal.com,"8,000+","$1.5B+",1983,Large Enterprise,"Turnaround, Restructuring, Performance Improvement",Verified
Management Consulting,Simon-Kucher & Partners,Germany,https://www.simon-kucher.com,"2,000+","$600M+",1985,Large Enterprise,"Pricing & Revenue Management, Growth Strategy",Verified
Management Consulting,Arthur D. Little,France,https://www.adlittle.com,"1,500+","$500M+",1886,Large Enterprise,"Technology & Innovation Management, R&D",Verified
Management Consulting,Bridgepoint Group,UK,https://www.bridgepoint.eu,"300+","$200M+",2000,Mid-Market,"Private Equity Advisory, M&A",Verified
Management Consulting,Brattle Group,USA,https://www.brattle.com,"500+","$150M+",1990,Mid-Market,"Economic Consulting, Expert Testimony",Verified
Management Consulting,Charles River Associates,USA,https://www.crai.com,"1,000+","$600M+",1965,Large Enterprise,"Economic, Financial, & Management Consulting",Verified
Management Consulting,Delta Capita,UK,https://www.deltacapita.com,"500+","$100M+",2007,Mid-Market,"Financial Services Consulting, Managed Services",Verified
Management Consulting,Frontier Economics,UK,https://www.frontier-economics.com,"300+","$80M+",1999,Mid-Market,"Economic Regulation, Competition Policy",Verified
IT Consulting,Accenture,Ireland,https://www.accenture.com,"721,000+","$64B+",1989,Conglomerate,"Technology, Operations, Digital Transformation",Verified
IT Consulting,IBM Global Services,USA,https://www.ibm.com,"250,000+","$58B+",1911,Conglomerate,"IT Infrastructure, Cloud, AI, Consulting",Verified
IT Consulting,Capgemini,France,https://www.capgemini.com,"340,000+","$22B+",1967,Conglomerate,"Technology Services, Digital Engineering, Consulting",Verified
IT Consulting,Cognizant,USA,https://www.cognizant.com,"355,000+","$19B+",1994,Conglomerate,"IT Services, Digital Business, Consulting",Verified
